,distance,moving_time,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,ftp
0,870172.9,132447.0,2724.0,18811.0,75774.0,25263.0,12599.0,0.0,203.14008333333334
1,613744.8,77988.0,1587.5,4853.0,42301.0,20124.0,10625.0,85.0,117.25691666666665
2,1572230.3,194877.0,3822.5,26031.0,127661.0,34543.0,6642.0,0.0,216.56437499999998
3,703769.5,90976.0,3301.2000000000003,11064.0,50994.0,14400.0,14512.0,6.0,250.49916666666667
4,531411.9,73287.0,1611.6,2524.0,40996.0,25367.0,4398.0,2.0,167.235625
5,958193.8,131349.0,2949.3,8884.0,82868.0,30233.0,9364.0,0.0,218.3899583333333
6,790476.0,113225.0,2037.2,16155.0,62631.0,29420.0,5019.0,0.0,94.97466666666666
7,806119.5,105924.0,2992.6,9058.0,62530.0,21576.0,12680.0,80.0,151.78941666666665
8,1331062.8,173353.0,2848.2,17062.0,120169.0,30304.0,5818.0,0.0,140.47808333333333
9,955199.3,117302.0,4028.9,10695.0,72088.0,22350.0,11702.0,467.0,222.13691666666668
10,848495.4,104065.0,3136.8,9134.0,63871.0,25600.0,5460.0,0.0,210.51762499999998
11,542874.2,65277.0,1821.3,4261.0,26308.0,20680.0,13998.0,30.0,174.32183333333333
12,630463.5,73063.0,2428.5,7659.0,25346.0,23318.0,16561.0,179.0,190.5929583333333
13,465451.5,55503.0,1617.8,4706.0,29882.0,12542.0,8245.0,128.0,220.85441666666665
14,623227.7,77463.0,2525.8,3602.0,36473.0,23331.0,13900.0,157.0,198.34258333333332
15,195418.8,27186.0,737.8,1594.0,15334.0,5586.0,4670.0,2.0,143.58062499999997
16,630992.9,75452.0,1960.2,4310.0,39892.0,22729.0,8202.0,319.0,172.368
17,620314.4,76549.0,2678.4,6216.0,35833.0,22081.0,11765.0,654.0,178.6855
18,378689.4,49597.0,1102.9,3922.0,23789.0,15907.0,5973.0,6.0,158.7204583333333
19,698208.7,83469.0,3939.9,3838.0,35302.0,24801.0,19347.0,181.0,226.9019583333333
20,491265.9,66549.0,2798.9,4777.0,33038.0,16119.0,12615.0,0.0,219.81495833333332
21,422825.0,53854.0,1912.3,2972.0,30179.0,13392.0,7083.0,228.0,129.02266666666665
22,415341.2,65029.0,1987.4,16176.0,30906.0,8962.0,8820.0,165.0,207.17679166666667
23,775247.9,96548.0,3021.8,5187.0,49579.0,29598.0,12073.0,111.0,226.95420833333333
24,667844.4,94147.0,1868.2,4443.0,59648.0,23014.0,7042.0,0.0,163.08808333333332
25,562621.8,82530.0,2700.3,11416.0,42222.0,19057.0,9834.0,1.0,237.02104166666666
26,416077.7,66495.0,2142.4,6568.0,40487.0,12033.0,7407.0,0.0,219.9812083333333
27,289503.0,38499.0,1444.0,6141.0,14478.0,10129.0,7750.0,1.0,179.04570833333332
28,294585.0,42659.0,897.3,5845.0,30517.0,3508.0,2789.0,0.0,129.99245833333333
29,51983.4,9726.0,685.2,2371.0,3852.0,2896.0,607.0,0.0,101.913625
30,282978.9,45096.0,1419.2,7363.0,34625.0,2726.0,382.0,0.0,113.52658333333332
31,137760.2,25563.0,1467.5,7910.0,7843.0,6706.0,3045.0,59.0,96.85249999999999
32,200053.9,30417.0,1129.5,1948.0,19478.0,8366.0,625.0,0.0,77.53741666666667
33,169042.6,28091.0,1984.5,5277.0,8442.0,8410.0,5962.0,0.0,181.590125
34,461459.6,61388.0,1561.0,4288.0,38922.0,15400.0,2777.0,1.0,135.054375
35,121678.4,18486.0,667.8,1959.0,14342.0,1177.0,1008.0,0.0,121.75358333333332
36,42839.1,6410.0,92.4,6410.0,0.0,0.0,0.0,0.0,107.44975
37,25474.2,4328.0,97.7,2952.0,1376.0,0.0,0.0,0.0,111.34633333333332
38,52648.1,9803.0,704.6,2151.0,3666.0,2963.0,1023.0,0.0,151.11649999999997
39,9177.3,2100.0,78.8,1626.0,474.0,0.0,0.0,0.0,52.51406473108043
40,839311.4,116537.0,2069.3,7888.0,90335.0,10449.0,7851.0,14.0,180.31079166666666
41,921196.2,125522.0,2016.5,6798.0,78323.0,27465.0,12784.0,152.0,140.1028333333333
42,674938.0,88467.0,1678.4,5366.0,56212.0,18694.0,8195.0,0.0,146.25645833333334
43,705139.6,96072.0,2853.4,6704.0,57588.0,12398.0,18914.0,468.0,239.15379166666668
44,884864.445165861,129623.48636272037,2731.2034813715336,17432.81591739177,71314.52462598743,27156.814620307472,12277.82978293599,0.0,203.14008333333334
